dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
dbpedia5,500,500,margin,BERT,BERT,0,6,4000,0.988608957129021,init_random,2024-03-09 09:12:16.804544
dbpedia5,500,500,margin,BERT,BERT,0,7,4500,0.9870108814286478,init_random,2024-03-09 09:57:44.940244
dbpedia5,500,500,margin,BERT,BERT,0,8,5000,0.9892105464211548,init_random,2024-03-09 10:49:05.128753
dbpedia5,500,500,margin,BERT,BERT,1,-1,500,0.9844122478249528,init_random,2024-03-13 19:37:44.007740
dbpedia5,500,500,margin,BERT,BERT,1,0,1000,0.9872087481556616,init_random,2024-03-13 19:54:48.585926
dbpedia5,500,500,margin,BERT,BERT,1,1,1500,0.9882032393818626,init_random,2024-03-13 20:15:35.646820
dbpedia5,500,500,margin,BERT,BERT,1,2,2000,0.9872128640991772,init_random,2024-03-13 20:40:19.328491
dbpedia5,500,500,margin,BERT,BERT,1,3,2500,0.9886054331061735,init_random,2024-03-13 21:09:09.270378
dbpedia5,500,500,margin,BERT,BERT,1,4,3000,0.9873882738491668,init_random,2024-03-13 21:42:15.774037
dbpedia5,500,500,margin,BERT,BERT,1,5,3500,0.9870155655011882,init_random,2024-03-13 22:19:42.125607
dbpedia5,500,500,margin,BERT,BERT,1,6,4000,0.9868121111803017,init_random,2024-03-13 23:12:18.610615
dbpedia5,500,500,margin,BERT,BERT,1,7,4500,0.9874052410026384,init_random,2024-03-14 00:00:24.084528
dbpedia5,500,500,margin,BERT,BERT,1,8,5000,0.9886094265699004,init_random,2024-03-14 00:49:50.231032
dbpedia5,500,500,margin,BERT,BERT,2,-1,500,0.98061062152619,init_random,2024-03-15 02:00:20.189330
dbpedia5,500,500,margin,BERT,BERT,2,0,1000,0.9859984892472052,init_random,2024-03-15 02:16:05.270200
dbpedia5,500,500,margin,BERT,BERT,2,1,1500,0.9888054917588904,init_random,2024-03-15 02:36:05.799536
dbpedia5,500,500,margin,BERT,BERT,2,2,2000,0.9871997340095724,init_random,2024-03-15 02:59:43.671416
dbpedia5,500,500,margin,BERT,BERT,2,3,2500,0.9867967245187104,init_random,2024-03-15 03:27:17.200558
dbpedia5,500,500,margin,BERT,BERT,2,4,3000,0.9882069689144029,init_random,2024-03-15 03:58:53.151672
dbpedia5,500,500,margin,BERT,BERT,2,5,3500,0.9884061778494736,init_random,2024-03-15 04:34:25.740101
dbpedia5,500,500,margin,BERT,BERT,2,6,4000,0.9866033457038024,init_random,2024-03-15 05:14:02.378107
dbpedia5,500,500,margin,BERT,BERT,2,7,4500,0.9864042886294112,init_random,2024-03-15 05:58:00.869925
dbpedia5,500,500,margin,BERT,BERT,2,8,5000,0.9874162034639156,init_random,2024-03-15 06:46:07.183966
dbpedia5,500,500,random,BERT,BERT,0,-1,500,0.9856091887226376,init_random,2024-03-08 11:34:38.562729
dbpedia5,500,500,random,BERT,BERT,0,0,1000,0.9793556689312976,init_random,2024-03-08 11:49:47.030355
dbpedia5,500,500,random,BERT,BERT,0,1,1500,0.986800329732644,init_random,2024-03-08 12:07:38.197416
dbpedia5,500,500,random,BERT,BERT,0,2,2000,0.9872156841074504,init_random,2024-03-08 12:29:46.341813
dbpedia5,500,500,random,BERT,BERT,0,3,2500,0.9849931464043448,init_random,2024-03-08 12:56:10.593941
